,polygon_id,leafing,latin,date,area,tag,iou,score
932,bf9575f3-3ca6-4b06-89be-a2759b910225_2023-05-02,99,Aspidosperma desmanthum,2023_05_02,199.31153383723958,001045,0.922313627,0.979445934
956,c5628eaf-3383-4ab8-98e6-29c9f6c2d796_2023-05-02,80,Tachigali panamensis,2023_05_02,461.76875254961146,077967,0.766899125,0.98313725
969,c610d05b-81e1-4611-a573-e9719f8cc0c4_2018-04-25,40,Dipteryx oleifera,2018_04_25,529.4398595552012,001907,0.885526358,0.966754675
970,c610d05b-81e1-4611-a573-e9719f8cc0c4_2018-05-23,50,Dipteryx oleifera,2018_05_23,535.8085584281796,001907,0.901318126,0.984381437
977,c610d05b-81e1-4611-a573-e9719f8cc0c4_2023-03-28,40,Dipteryx oleifera,2023_03_28,552.0172068127182,001907,0.918753055,0.976022363
978,c610d05b-81e1-4611-a573-e9719f8cc0c4_2023-04-04,45,Dipteryx oleifera,2023_04_04,569.1419079,001907,0.803458387,0.976661563
984,c610d05b-81e1-4611-a573-e9719f8cc0c4_2024-02-08,90,Dipteryx oleifera,2024_02_08,783.9227482470807,001907,0.774868496,0.976077914
992,c9b370cf-7307-4da4-9c5a-e9f3eecf7d3e_2018-04-25,90,Quararibea stenophylla,2018_04_25,114.99304811568157,002049,0.93947085,0.968586087
1011,cf2a56ca-0f9e-4c8d-924b-78693552eea8_2018-08-27,90,Sterculia apetala,2018_08_27,423.7779556345591,000890,0.938161779,0.987361193
1012,cf2a56ca-0f9e-4c8d-924b-78693552eea8_2019-10-17,95,Sterculia apetala,2019_10_17,410.44339715726386,000890,0.969204362,0.977513731
1013,cf2a56ca-0f9e-4c8d-924b-78693552eea8_2022-11-24,85,Sterculia apetala,2022_11_24,393.8884361731982,000890,0.947860477,0.979132175
1022,d446e276-ab4f-4c54-b07e-2b9d926b126f_2019-05-31,90,Luehea seemannii,2019_05_31,252.70460903537582,001839,0.927052964,0.991719604
1036,d47b3678-9f11-4811-9930-c969df5fac0e_2024-02-08,60,Dipteryx oleifera,2024_02_08,554.5541243,007168,0.942578011,0.980916142
1037,d47b3678-9f11-4811-9930-c969df5fac0e_2024-02-15,20,Dipteryx oleifera,2024_02_15,533.7550567343578,007168,0.931131795,0.987905383
1038,d4ab4af5-816a-4d39-9967-b2d9dbd1cf66_2018-04-04,100,Virola surinamensis,2018_04_04,167.2659391555486,008527,0.890502485,0.975094557
1039,d4ac59df-2803-4f31-9312-cb44b8b2c95f_2023-03-07,75,Quararibea stenophylla,2023_03_07,88.85507922640514,003872,0.853629875,0.979532599
1042,d6037f14-e0b7-4093-a7fa-70db99defcd7_2019-10-17,90,Ceiba pentandra,2019_10_17,800.3659954904738,002211,0.891659747,0.984358191
1046,d6b6e4ed-8feb-499a-838c-a788619747da_2021-02-25,95,Dipteryx oleifera,2021_02_25,868.6850421987047,001342,0.845353241,0.954872727
1055,d79de1da-2d84-460a-bdfe-cf9abc9a5832_2018-08-27,90,Tachigali panamensis,2018_08_27,309.87563987240696,144491,0.846949181,0.991129875
1056,d9ce4645-ab72-411b-a288-bf4cf68992c5_2022-11-24,5,Platypodium elegans,2022_11_24,183.6624697425695,005746,0.915996192,0.972786427
1067,dd8dea52-48dc-41c0-8974-4026e8d6882c_2023-03-07,95,Cecropia insignis,2023_03_07,39.50401033,719031,0.871658159,0.981457114
1068,de11522b-0599-4911-a0f9-91135c58d785_2023-04-04,5,Apeiba membranacea,2023_04_04,91.51285070658984,123405,0.939284482,0.974538922
1071,e03db8cf-6139-4e0b-96da-27a7b4d68ef8_2018-04-25,15,Dipteryx oleifera,2018_04_25,369.39773718883765,000670,0.865412938,0.973359942
1074,e03db8cf-6139-4e0b-96da-27a7b4d68ef8_2023-04-04,20,Dipteryx oleifera,2023_04_04,365.1942537511074,000670,0.932843474,0.969332337
1078,e03db8cf-6139-4e0b-96da-27a7b4d68ef8_2024-02-08,100,Dipteryx oleifera,2024_02_08,421.34970511526495,000670,0.907409413,0.974580765
1090,e35fe388-2ed7-43b6-bea8-e6f0a8f899c9_2022-12-28,50,Jacaranda copaia,2022_12_28,215.4876836787343,007708,0.887056776,0.982001662
1092,e35fe388-2ed7-43b6-bea8-e6f0a8f899c9_2023-10-31,75,Jacaranda copaia,2023_10_31,198.52344416668845,007708,0.934395258,0.988343477
1109,e8e20a83-cd79-470d-8c43-cf7019cc7273_2023-05-23,99,Chrysophyllum cainito,2023_05_23,219.9359212893898,002816,0.929229909,0.978014231
1116,eade1d37-b060-426f-a951-fe78584e05ba_2023-10-31,95,Jacaranda copaia,2023_10_31,247.76381490106115,006305,0.891584908,0.988774538
1117,ed2efba9-bf0f-4893-b8d5-112f83b586a7_2023-03-07,95,Brosimum alicastrum,2023_03_07,154.6656446375955,005580,0.923637882,0.985681415
1119,ee0f66cc-2abb-4fce-add4-8c442f4c380e_2023-03-07,85,Hieronyma alchorneoides,2023_03_07,280.92045352571387,002314,0.956619467,0.989646792
1129,f1629f70-b315-42e8-af34-096eed9cc332_2022-10-27,25,Terminalia oblonga,2022_10_27,240.37242749864856,003328,0.817456639,0.960699677
1130,f1629f70-b315-42e8-af34-096eed9cc332_2022-11-24,30,Terminalia oblonga,2022_11_24,239.9590866533132,003328,0.9190254,0.992581129
1133,f40b162f-9e92-4de6-82e0-3d6ff2289866_2018-08-27,95,Tachigali panamensis,2018_08_27,543.3614229666267,146382,0.888555437,0.977656722
1137,f40b162f-9e92-4de6-82e0-3d6ff2289866_2023-04-04,100,Tachigali panamensis,2023_04_04,624.0471809148275,146382,0.927467913,0.95352596
1142,f526e65c-3399-4403-8375-4ba1a74cb106_2022-04-27,2,Tabebuia rosea,2022_04_27,193.30031893849312,001972,0.928031271,0.981584907
1158,f6a001af-e0e1-424b-9d59-257af22c954e_2018-08-27,5,Tachigali panamensis,2018_08_27,331.0992196931344,118796,0.823383602,0.982275963
1161,f6a001af-e0e1-424b-9d59-257af22c954e_2020-09-21,65,Tachigali panamensis,2020_09_21,367.4407155,118796,0.897854991,0.984094858
1173,f8da92d4-a6e6-4afd-b65a-2767e23a29b1_2018-04-25,97,Ochroma pyramidale,2018_04_25,359.4450583561269,800062,0.931678693,0.988269329
1187,fa23842a-ea4a-4319-a455-9ddcc22bb3c3_2023-05-02,0,Cavanillesia platanifolia,2023_05_02,291.33826775726243,003008,0.906307894,0.983181357
1192,fb89f848-b35a-4902-9718-105d730221bb_2023-03-28,15,Brosimum alicastrum,2023_03_28,418.28367068727636,006704,0.943558262,0.981574178
1193,fc0fdb29-e463-4918-a3e8-c707b64f0bcc_2018-08-27,96,Ceiba pentandra,2018_08_27,682.1505137071467,007163,0.945708229,0.982878923
1194,fc0fdb29-e463-4918-a3e8-c707b64f0bcc_2022-12-28,4,Ceiba pentandra,2022_12_28,651.3479883000861,007163,0.882908536,0.962614775
1195,fc0fdb29-e463-4918-a3e8-c707b64f0bcc_2023-03-28,5,Ceiba pentandra,2023_03_28,645.1092835993466,007163,0.913324635,0.971295953
1196,fc0fdb29-e463-4918-a3e8-c707b64f0bcc_2023-09-12,10,Ceiba pentandra,2023_09_12,673.7283131399897,007163,0.925074318,0.999213457
1197,fc0fdb29-e463-4918-a3e8-c707b64f0bcc_2024-01-03,3,Ceiba pentandra,2024_01_03,670.2306574362128,007163,0.910149435,0.986722827
1217,fc641d4a-4e79-46c5-9b37-592ab13d31bf_2023-03-21,25,Dipteryx oleifera,2023_03_21,445.72056572207674,004153,0.958131254,0.974908352
1218,fc641d4a-4e79-46c5-9b37-592ab13d31bf_2023-03-28,15,Dipteryx oleifera,2023_03_28,452.87126078887917,004153,0.954942554,0.963413239
1223,fc641d4a-4e79-46c5-9b37-592ab13d31bf_2024-01-03,97,Dipteryx oleifera,2024_01_03,484.7939703549962,004153,0.952727213,0.985101283
1224,fc641d4a-4e79-46c5-9b37-592ab13d31bf_2024-02-15,15,Dipteryx oleifera,2024_02_15,487.13386546020155,004153,0.955114695,0.991995096
1225,fd10f41d-02a4-40b4-90bd-c506ad66acf5_2019-05-31,85,Terminalia amazonia,2019_05_31,209.73239480683836,094072,0.897376398,0.984954715
1229,feaec0dd-a838-4845-8975-9cbe33a42fc0_2019-04-24,50,Brosimum alicastrum,2019_04_24,239.82503016297275,003681,0.853284553,0.98511672
1231,ff7bc21b-56f3-406e-95fb-419034b0dc8f_2018-08-27,75,Astronium graveolens,2018_08_27,180.64416754941462,003056,0.911384675,0.942057252
1232,ff7bc21b-56f3-406e-95fb-419034b0dc8f_2019-05-31,17,Astronium graveolens,2019_05_31,211.85800264323345,003056,0.770741355,0.983510256
